flow,citing_loc_label,cited_loc_label,weight
Incoming,SCIENCE,SCIENCE,278260
Outgoing,SCIENCE,SCIENCE,238380
Incoming,SCIENCE,MEDICINE,47130
Incoming,MEDICINE,SCIENCE,42485
Outgoing,SCIENCE,MEDICINE,41270
Outgoing,MEDICINE,SCIENCE,38911
Internal,SCIENCE,SCIENCE,37912
Incoming,TECHNOLOGY,SCIENCE,36272
Incoming,MEDICINE,MEDICINE,30289
Outgoing,MEDICINE,MEDICINE,29439
Outgoing,TECHNOLOGY,SCIENCE,24833
Incoming,SCIENCE,TECHNOLOGY,24220
Outgoing,SCIENCE,TECHNOLOGY,24024
Outgoing,SOCIAL SCIENCES,SOCIAL SCIENCES,11269
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SOCIAL SCIENCES,9631
Outgoing,EDUCATION,SOCIAL SCIENCES,9434
Outgoing,POLITICAL SCIENCE,SOCIAL SCIENCES,9434
Outgoing,SOCIAL SCIENCES,GEOGRAPHY. ANTHROPOLOGY. RECREATION,9380
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,9345
Outgoing,SOCIAL SCIENCES,EDUCATION,9136
Outgoing,SOCIAL SCIENCES,POLITICAL SCIENCE,9130
Outgoing,EDUCATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,8999
Outgoing,POLITICAL SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,8999
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,POLITICAL SCIENCE,8984
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,EDUCATION,8984
Incoming,TECHNOLOGY,MEDICINE,8969
Outgoing,EDUCATION,POLITICAL SCIENCE,8834
Outgoing,EDUCATION,EDUCATION,8834
Outgoing,POLITICAL SCIENCE,EDUCATION,8834
Outgoing,POLITICAL SCIENCE,POLITICAL SCIENCE,8834
Incoming,TECHNOLOGY,TECHNOLOGY,7472
Incoming,SOCIAL SCIENCES,SOCIAL SCIENCES,6983
Outgoing,TECHNOLOGY,TECHNOLOGY,6667
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,6552
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SCIENCE,6442
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SOCIAL SCIENCES,6231
Incoming,SOCIAL SCIENCES,GEOGRAPHY. ANTHROPOLOGY. RECREATION,6103
Incoming,SOCIAL SCIENCES,POLITICAL SCIENCE,5983
Incoming,SOCIAL SCIENCES,EDUCATION,5983
Incoming,POLITICAL SCIENCE,SOCIAL SCIENCES,5953
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,POLITICAL SCIENCE,5942
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,EDUCATION,5940
Incoming,EDUCATION,SOCIAL SCIENCES,5908
Incoming,POLITICAL SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,5825
Incoming,EDUCATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,5782
Incoming,POLITICAL SCIENCE,EDUCATION,5721
Incoming,POLITICAL SCIENCE,POLITICAL SCIENCE,5721
Incoming,EDUCATION,EDUCATION,5678
Incoming,EDUCATION,POLITICAL SCIENCE,5678
Outgoing,TECHNOLOGY,MEDICINE,5432
Incoming,AGRICULTURE,SCIENCE,5192
Internal,TECHNOLOGY,SCIENCE,5180
Incoming,SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,4215
